Deinflect Rules 20081220-0509 | by Jonathan Zarate | http://www.polarcloud.com
polite past negative
polite negative
polite volitional
-chau
-sugiru
-nasai
polite past
-tara
-tari
causative
potential or passive
-sou
-tai
polite
past
negative
passive
-ba
volitional
potential
passive or causative
-te
-zu
imperative
masu stem
adv
noun
imperative negative
progressive
preparatory
resultant
-te shimau
try
go
come
please do
no good
it's OK to
it was OK to
I don't mind if
I want you to
sorry for
thanks for
favor to me
favor to other
receive favor
して来る	する	4104	34
して行く	す	514	33
して行く	する	4098	33
しなさい	す	640	5
しなさい	する	4224	5
しました	す	640	6
しました	する	4224	6
しません	す	640	1
しません	する	4224	1
ちすぎる	つ	513	4
ちなさい	つ	640	5
ちました	つ	640	6
ちません	つ	640	1
っちゃう	う	514	3
っちゃう	く	514	3
っちゃう	つ	514	3
っちゃう	る	514	3
ってある	う	513	30
ってある	く	513	30
ってある	つ	513	30
ってある	る	513	30
っていく	う	514	33
っていく	く	514	33
っていく	つ	514	33
っていく	る	514	33
っている	う	513	28
っている	く	513	28
っている	つ	513	28
っている	る	513	28
っておく	う	514	29
っておく	く	514	29
っておく	つ	514	29
っておく	る	514	29
っておる	う	514	28
っておる	く	514	28
っておる	つ	514	28
っておる	る	514	28
ってくる	う	520	34
ってくる	く	520	34
ってくる	つ	520	34
ってくる	る	520	34
ってみる	う	513	32
ってみる	く	513	32
ってみる	つ	513	32
ってみる	る	513	32
って来る	う	520	34
って来る	く	520	34
って来る	つ	520	34
って来る	る	520	34
って行く	う	514	33
って行く	く	514	33
って行く	つ	514	33
って行く	る	514	33
てあげる	る	2305	44
てくれる	る	2305	43
てしまう	る	2306	31
てほしい	る	2308	40
てもいい	る	2432	37
てもらう	る	2306	45
ても良い	る	2432	37
て欲しい	る	2308	40
にすぎる	ぬ	513	4
になさい	ぬ	640	5
にました	ぬ	640	6
にません	ぬ	640	1
びすぎる	ぶ	513	4
びなさい	ぶ	640	5
びました	ぶ	640	6
びません	ぶ	640	1
ましょう	る	2432	2
みすぎる	む	513	4
みなさい	む	640	5
みました	む	640	6
みません	む	640	1
りすぎる	る	513	4
りなさい	る	640	5
りました	る	640	6
